,TickerSymbol,ContractName,Open,High,Low,Close,Settlement,Volume,OpenInterest,Date
256,PEGAS G8BM022023,Feb-2023,82.0,82.0,74.0,74.0,74.794,47.0,19052,2022-12-30T00:00:00.0000000
257,PEGAS G8BM022023,Feb-2023,76.0,76.0,73.5,73.5,77.0,7.0,19052,2023-01-02T00:00:00.0000000
258,PEGAS G8BM022023,Feb-2023,75.0,77.8,71.75,71.75,74.3,360.0,19412,2023-01-03T00:00:00.0000000
259,PEGAS G8BM022023,Feb-2023,70.5,70.95,64.5,64.5,65.872,176.0,19558,2023-01-04T00:00:00.0000000
260,PEGAS G8BM022023,Feb-2023,65.1,73.5,65.1,71.0,72.799,494.0,19918,2023-01-05T00:00:00.0000000
261,PEGAS G8BM022023,Feb-2023,70.0,70.0,68.6,69.3,69.993,407.0,20325,2023-01-06T00:00:00.0000000
262,PEGAS G8BM022023,Feb-2023,70.6,74.6,70.6,74.6,74.38,423.0,20707,2023-01-09T00:00:00.0000000
263,PEGAS G8BM022023,Feb-2023,74.0,74.0,69.6,69.6,70.832,318.0,21096,2023-01-10T00:00:00.0000000
264,PEGAS G8BM022023,Feb-2023,68.7,69.0,66.8,66.8,66.59,176.0,21704,2023-01-11T00:00:00.0000000
265,PEGAS G8BM022023,Feb-2023,71.0,71.0,68.25,68.75,68.34,163.0,21867,2023-01-12T00:00:00.0000000
266,PEGAS G8BM022023,Feb-2023,70.6,70.9,64.2,64.2,66.48,133.0,22030,2023-01-13T00:00:00.0000000
267,PEGAS G8BM022023,Feb-2023,62.35,63.3,55.9,55.9,56.714,211.0,22241,2023-01-16T00:00:00.0000000
268,PEGAS G8BM022023,Feb-2023,54.5,60.8,54.5,59.55,60.945,379.0,22553,2023-01-17T00:00:00.0000000
269,PEGAS G8BM022023,Feb-2023,60.5,64.4,60.4,63.5,63.745,202.0,23136,2023-01-18T00:00:00.0000000
270,PEGAS G8BM022023,Feb-2023,65.4,65.4,60.75,62.5,62.686,183.0,23485,2023-01-19T00:00:00.0000000
271,PEGAS G8BM022023,Feb-2023,63.995,69.7,63.8,69.0,68.607,148.0,23568,2023-01-20T00:00:00.0000000
272,PEGAS G8BM022023,Feb-2023,67.0,69.5,64.0,64.0,67.4,609.0,24350,2023-01-23T00:00:00.0000000
273,PEGAS G8BM022023,Feb-2023,61.3,62.6,59.625,59.625,60.207,469.0,25155,2023-01-24T00:00:00.0000000
